2024-06-27 14:08:15 status half-installed libpam-modules:arm64 1.4.0-11ubuntu2
2024-06-27 14:08:15 status unpacked libpam-modules:arm64 1.4.0-11ubuntu2
2024-06-27 14:08:15 install libpam-modules-bin:arm64 <none> 1.4.0-11ubuntu2
2024-06-27 14:08:15 status half-installed libpam-modules-bin:arm64 1.4.0-11ubuntu2
2024-06-27 14:08:15 status unpacked libpam-modules-bin:arm64 1.4.0-11ubuntu2
2024-06-27 14:08:15 install libpam-runtime:all <none> 1.4.0-11ubuntu2
2024-06-27 14:08:15 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2024-06-27 14:08:15 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2024-06-27 14:08:15 install libpam0g:arm64 <none> 1.4.0-11ubuntu2
2024-06-27 14:08:15 status half-installed libpam0g:arm64 1.4.0-11ubuntu2
2024-06-27 14:08:15 status unpacked libpam0g:arm64 1.4.0-11ubuntu2
2024-06-27 14:08:15 install libpcre2-8-0:arm64 <none> 10.39-3build1
2024-06-27 14:08:15 status half-installed libpcre2-8-0:arm64 10.39-3build1
2024-06-27 14:08:15 status unpacked libpcre2-8-0:arm64 10.39-3build1
2024-06-27 14:08:15 install libpcre3:arm64 <none> 2:8.39-13build5
2024-06-27 14:08:15 status half-installed libpcre3:arm64 2:8.39-13build5
2024-06-27 14:08:15 status unpacked libpcre3:arm64 2:8.39-13build5
2024-06-27 14:08:15 install libprocps8:arm64 <none> 2:3.3.17-6ubuntu2
2024-06-27 14:08:15 status half-installed libprocps8:arm64 2:3.3.17-6ubuntu2
2024-06-27 14:08:15 status unpacked libprocps8:arm64 2:3.3.17-6ubuntu2
2024-06-27 14:08:15 install libselinux1:arm64 <none> 3.3-1build2
2024-06-27 14:08:15 status half-installed libselinux1:arm64 3.3-1build2
2024-06-27 14:08:15 status unpacked libselinux1:arm64 3.3-1build2
2024-06-27 14:08:15 install libsemanage-common:all <none> 3.3-1build2
2024-06-27 14:08:15 status half-installed libsemanage-common:all 3.3-1build2
2024-06-27 14:08:15 status unpacked libsemanage-common:all 3.3-1build2
2024-06-27 14:08:15 install libsemanage2:arm64 <none> 3.3-1build2
2024-06-27 14:08:15 status half-installed libsemanage2:arm64 3.3-1build2
2024-06-27 14:08:15 status unpacked libsemanage2:arm64 3.3-1build2
2024-06-27 14:08:15 install libsepol2:arm64 <none> 3.3-1build1
2024-06-27 14:08:15 status half-installed libsepol2:arm64 3.3-1build1
2024-06-27 14:08:15 status unpacked libsepol2:arm64 3.3-1build1
2024-06-27 14:08:15 install libsmartcols1:arm64 <none> 2.37.2-4ubuntu3
2024-06-27 14:08:15 status half-installed libsmartcols1:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:15 status unpacked libsmartcols1:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:15 install libss2:arm64 <none> 1.46.5-2ubuntu1
2024-06-27 14:08:15 status half-installed libss2:arm64 1.46.5-2ubuntu1
2024-06-27 14:08:15 status unpacked libss2:arm64 1.46.5-2ubuntu1
2024-06-27 14:08:15 install libssl3:arm64 <none> 3.0.2-0ubuntu1
2024-06-27 14:08:15 status half-installed libssl3:arm64 3.0.2-0ubuntu1
2024-06-27 14:08:15 status unpacked libssl3:arm64 3.0.2-0ubuntu1
2024-06-27 14:08:15 install libsystemd0:arm64 <none> 249.11-0ubuntu3
2024-06-27 14:08:15 status half-installed libsystemd0:arm64 249.11-0ubuntu3
2024-06-27 14:08:15 status unpacked libsystemd0:arm64 249.11-0ubuntu3
2024-06-27 14:08:15 install libtinfo6:arm64 <none> 6.3-2
2024-06-27 14:08:15 status half-installed libtinfo6:arm64 6.3-2
2024-06-27 14:08:15 status unpacked libtinfo6:arm64 6.3-2
2024-06-27 14:08:15 install libtirpc-common:all <none> 1.3.2-2build1
